,Original_Full_Reference,,,,,,,,,,,,,,,
31,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.038",,,,,,,,,,,,,,,
32,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.039",,,,,,,,,,,,,,,
33,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.040",,,,,,,,,,,,,,,
34,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.041",,,,,,,,,,,,,,,
35,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.042",,,,,,,,,,,,,,,
36,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.043",,,,,,,,,,,,,,,
37,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.044",,,,,,,,,,,,,,,
38,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.045",,,,,,,,,,,,,,,
39,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.046",,,,,,,,,,,,,,,
40,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.047",,,,,,,,,,,,,,,
41,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.048",,,,,,,,,,,,,,,
42,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.049",,,,,,,,,,,,,,,
43,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.050",,,,,,,,,,,,,,,
44,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.051",,,,,,,,,,,,,,,
45,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.052",,,,,,,,,,,,,,,
46,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.053",,,,,,,,,,,,,,,
47,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.054",,,,,,,,,,,,,,,
48,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.055",,,,,,,,,,,,,,,
49,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.056",,,,,,,,,,,,,,,
50,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.057",,,,,,,,,,,,,,,
51,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.058",,,,,,,,,,,,,,,
52,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.059",,,,,,,,,,,,,,,
53,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.060",,,,,,,,,,,,,,,
54,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.061",,,,,,,,,,,,,,,
55,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.062",,,,,,,,,,,,,,,
56,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.063",,,,,,,,,,,,,,,
57,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.064",,,,,,,,,,,,,,,
58,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.065",,,,,,,,,,,,,,,
59,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.066",,,,,,,,,,,,,,,
60,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.067",,,,,,,,,,,,,,,
61,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.068",,,,,,,,,,,,,,,
62,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.069",,,,,,,,,,,,,,,
147,"Bethard J., Gaither K., Vaques V., Rosales T., & Kent J. (2008) Isótopos estables, dieta y movilidad de los pobladores de um conjunto residencial em Santa Rita B, valle de Chao, Perú. Archaeobios, 2, 19- 27.",,,,,,,,,,,,,,,
156,"Burger, R.L., J.A. Lee-Thorp, & van der Merwe, N.J. (2003). Rite and crop in the Inca State revisited: An isotopic perspective from Machu Picchu and beyond. In: R.L. Burger and L.C. Salazar (Eds.). The 1912 Yale Peruvian Scientific Expedition Collections from Machu Picchu, vol. 85 (pp. 119-137). New Haven: Yale University Publications in Anthropology.",,,,,,,,,,,,,,,
151,"Buzon, M.R., Conlee, C.A., Simonetti, A., & Bowen, G.J.  (2012). The consequences of Wari contact in the Nasca region during the Middle Horizon: archaeological, skeletal, and isotopic evidence. Journal of Archaeological Science, 39, 2627-2636.",,,,,,,,,,,,,,,
16,"Calippo, F. (2010). Sociedade Sambaquieira, comunidades marítimas. Doctoral Dissertation. Universidade de São Paulo.",,,,,,,,,,,,,,,
165,"Chala-Aldana, D., Bocherens, H., Miller, C., Moore, K., Hodgins, G., & Rademaker,K. (2018). Investigating mobility and highland occupation strategies during the Early Holocene at the Cuncaicha rock shelter through strontium and oxygen isotopes. Journal of Archaeological Science: Reports, 19, 811-827.",,,,,,,,,,,,,,,
150,"Conlee, C.A., Buzon, M.R., Noriega Gutierrez, A., Simonetti, A., & Creaser, R.A. (2009). Identifying foreigners versus locals in a burial population from Nasca, Peru: an investigation using strontium isotope analysis. Journal of Archaeological Science, 36, 2755–2764.",,,,,,,,,,,,,,,
4,"Fernández, M. V., Gordón, F., le Roux, P. J., Winocur, D., Lucero, G., Benítez, A., Rindel, D., Della Negra, C., Bernal, V., & Barberena, R. (2022). Scale of human mobility in northwestern Patagonia: An approach based on regional geology and strontium isotopes in human remains. Geoarchaeology, 37(1), 227-241.",,,,,,,,,,,,,,,
75,"Gómez, P., & Pacheco, A. (2016). Movilidad y dieta en el valle de El Mauro (31° 57’ S. - 71° 01’ W.), Norte Semiárido de Chile, entre 8350-929 cal. AP. Comechingonia, Revista de Arqueología, 20, 1, 51-79.",,,,,,,,,,,,,,,
1,"Gil, A. F., Villalba, R., Ugan, A., Cortegoso, V., Neme, G., Michieli, C. T., ... & Durán, V. (2014). Isotopic evidence on human bone for declining maize consumption during the little ice age in central western Argentina. Journal of Archaeological Science, 49, 213-227.",,,,,,,,,,,,,,,
66,"Gomes, L.M.P. (2021). Padrão de mobilidade de grupos humanos encontrados no Brasil Central durante o Holoceno Inicial: um estudo isotópico sobre a dinâmica ocupacional das paisagens regionais. Master's Thesis. Universidade de São Paulo.",,,,,,,,,,,,,,,
5,"Gordón, F., Ivan Perez, S., Hajduk, A., Lezcano, M., & Bernal, V. (2018). Dietary patterns in human populations from northwest Patagonia during Holocene: an approach using Binford’s frames of reference and Bayesian isotope mixing models. Archaeological and Anthropological Sciences, 10(6), 1347-1358.",,,,,,,,,,,,,,,
158,"Hewitt, B.R. (2013). Foreigners Among the Dead at Túcume, Peru: Assesssing Residential Mobility Using Isotopic Tracers. Doctoral Dissertation. University of Western Ontario.",,,,,,,,,,,,,,,
213,"Hyland, C., Millaire, J-F., & Szpak, P. (2021). Migration and maize in the Virú Valley: Understanding life histories through multi-tissue carbon, nitrogen, sulfur, and strontium isotope analyses. American Journal of Physical Anthropology, 176, 21– 35. ",,,,,,,,,,,,,,,
13,"Juengst, S.L. (2015). Community and Ritual on the Copacabana Península (800 BC – AD 200). Doctoral Dissertation. University of North Carolina, Chapel Hill.",,,,,,,,,,,,,,,
7,"Knudson, K. J., Tung, T. A., Nystrom, K. C., Price, T. D., & Fullagar, P. D. (2005). The origin of the Juch'uypampa Cave mummies: Strontium isotope analysis of archaeological human remains from Bolivia. Journal of Archaeological Science, 32(6), 903-913.",,,,,,,,,,,,,,,
11,"Knudson, K.J., & Price, T.D. (2007). Utility of multiple chemical techniques in archaeological residential mobility studies: Case studies from Tiwanaku‐and Chiribaya‐affiliated sites in the Andes. American Journal of Physical Anthropolog,y 132, 25-39.",,,,,,,,,,,,,,,
8,"Knudson, K.J., & Price, T.D. (2007). Utility of multiple chemical techniques in archaeological residential mobility studies: Case studies from Tiwanaku‐and Chiribaya‐affiliated sites in the Andes. American Journal of Physical Anthropology, 132, 25-39.",,,,,,,,,,,,,,,
73,"Knudson, K.J., & Torres-Rouff, C. (2014). Cultural Diversity and Paleomobility in the Andean Middle Horizon: Radiogenic Strontium Isotope Analyses in the San Pedro De Atacama Oases of Northern Chile. Latin American Antiquity, 25 (2), 170 – 188.",,,,,,,,,,,,,,,
163,"Knudson, K.J., Giersz, M., Więckowski, W., & Tomczyk, W. (2017). Reconstructing the lives of Wari elites: Paleomobility and paleodiet at the archaeological site of Castillo de Huarmey, Peru. Journal of Archaeological Science: Reports, 13, 249-264.",,,,,,,,,,,,,,,
160,"Knudson, K.J., Goldstein, P.S., Dahlstedt, A., Somerville, A., & Schoeninger, M.J. (2014). Paleomobility in the Tiwanaku Diaspora: Biogeochemical analyses at Rio Muerto, Moquegua, Peru. American Journal of Physical Anthropology, 155, 405–421.",,,,,,,,,,,,,,,
69,"Knudson, K.J., Pestle, W.J., Torres-Rouff, C., & Pimentel, G. (2012). Assessing the Life History of an Andean Traveller through Biogeochemistry: Stable and Radiogenic Isotope Analyses of Archaeological Human Remains from Northern Chile. International Journal of Osteoarchaeology, 22, 435-451.",,,,,,,,,,,,,,,
162,"Knudson, K.J., Stanish, C., Lozada Cerna, M.C., Full, K.M., & Tantaleán, H. (2016). Intra-individual variability and strontium isotope measurements: A methodological study using 87Sr/86Sr data from Pampa de los Gentiles, Chincha Valley, Peru. Journal of Archaeological Science: Reports, 5, 590–597.",,,,,,,,,,,,,,,
71,"Knudson, K.J., Torres-Rouff, C., & Stoianowski, C.M. (2015). Investigating Human Responses to Political and Environmental Change Through Paleodiet and Paleomobility. American Journal of Physical Anthropology, 157, 179–201.",,,,,,,,,,,,,,,
152,"Knudson, K.J., Williams, S.R., Osborn, R., Forgey, K., & Williams, P.R. (2009). The geographic origins of Nasca trophy heads using strontium, oxygen, and carbon isotope data. Journal of Anthropological Archaeology, 28(2), 244-257.",,,,,,,,,,,,,,,
168,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-2",,,,,,,,,,,,,,,
169,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-3",,,,,,,,,,,,,,,
170,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-4",,,,,,,,,,,,,,,
171,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-5",,,,,,,,,,,,,,,
172,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-6",,,,,,,,,,,,,,,
173,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-7",,,,,,,,,,,,,,,
174,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-8",,,,,,,,,,,,,,,
175,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-9",,,,,,,,,,,,,,,
176,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-10",,,,,,,,,,,,,,,
177,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-11",,,,,,,,,,,,,,,
178,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-12",,,,,,,,,,,,,,,
179,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-13",,,,,,,,,,,,,,,
180,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-14",,,,,,,,,,,,,,,
181,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-15",,,,,,,,,,,,,,,
