"","related_publication_id","related_publication_citation"
"19","https://doi.org/10.1371/journal.pone.0157650","Arnold ER, et al. 2016. Isotopic evidence for early trade in animals between Old Kingdom Egypt and Canaan. PLoS ONE 11: e0157650."
"20","https://doi.org/10.1007/s12520-013-0121-z.","Arnold ER., et al. Domestic Cattle Mobility in Early Farming Villages in Southern Africa..."". Arch&AnthSci, 5:2, 2013, 129-44"
"21","","Aviani, U. (2013) Applicazione della sistematica isotopica dello Sr alla tracciabilità e alla qualificazione di prodotti vitivinicoli: studio sul Prosecco veneto. PhD thesis, University of Trieste."
"22","https://doi.org/10.1016/j.fishres.2023.106741","Avigliano, E., et al. (2023). Strontium isotope mapping and its application to study the fish life history (Salminus brasiliensis) in semi-fragmented rivers (La Plata Basin, South America). Fisheries Research, 265, 106741. ISSN: 0165-7836."
"23","https://doi.org/10.1016/j.epsl.2021.116880","Azevedo, V., et al. (2021). Paleovegetation seesaw in Brazil since the Late Pleistocene: A multiproxy study of two biomes. Earth and Planetary Science Letters, 563, 116880"
"24","https://doi.org/10.1016/j.jas.2016.01.004","Bäckström, Y., Price, T.D., 2016. Social identity and mobility at a pre-industrial mining complex, Sweden. J. Archaeol. Sci. 66, 154–168. https://doi.org/10.1016/j.jas.2016.01.004"
"25","https://doi.org/10.1139/f04-167","Bacon, et al., 2004. Migration and rearing histories of chinook salmon (Oncorhynchus tshawytscha) determined by ion microprobe Sr isotope and Sr/Ca transects of otoliths. Canadian Journal of Fisheries and Aquatic Sciences, 61(12), pp.2425-2439."
"26","https://doi.org/10.1038/nature11349.","Balter, V., Braga, J., Télouk, P. and Thackeray, J.F., 2012. Evidence for dietary change but not landscape use in South African early hominins. Nature, 489(7417), pp.558-560."
"27","https://doi.org/10.1038/s41598-020-78013-x","Barberena, R et al. 2020. ""Multi-Isotopic and Morphometric Evidence for the Migration of Farmers Leading up to the Inka Conquest of the Southern Andes."" Scientific Reports 10 (1): 21171"
"28","https://doi.org/10.1002/ajpa.23270","Barberena, R, Durán, VA, Novellino, P, et al. Scale of human mobility in the southern Andes (Argentina and Chile): A new framework based on strontium isotopes. Am J Phys Anthropol. 2017; 164: 305–320. https://doi.org/10.1002/ajpa.23270"
"29","https://doi.org/10.1080/14614103.2019.1689894","Barberena, R., et al. (2021). Bioavailable Strontium in the Southern Andes (Argentina and Chile): A Tool for Tracking Human and Animal Movement. Environmental Archaeology, 26(3), 323-335."
"30","https://doi.org/10.4319/lo.2008.53.4.1633","Barnett-Johnson, R, Pearson, T.E., Ramos, F.C., Grimes, C.B. and Bruce MacFarlane, R., 2008. Tracking natal origins of salmon using isotopes, otoliths, and landscape geology. Limnology and Oceanography, 53(4), pp.1633-1642."
"31","https://doi.org/10.1007/s10641-010-9662-5","Barnett-Johnson, R., Teel, D.J. & Casillas, E. Genetic and otolith isotopic markers identify salmon populations in the Columbia River at broad and fine geographic scales. Environ Biol Fish 89, 533–546 (2010). https://doi.org/10.1007/s10641-010-9662-5"
"32","https://doi.org/10.1590/s0001-37652011000200030","Bastos MQ, Souza SM, Santos RV, Lima BA, Santos RV, Rodrigues-Carvalho C. Human mobility on the Brazilian coast: an analysis of strontium isotopes in archaeological human remains from Forte Marechal Luz Sambaqui. An Acad Bras Cienc. 2011 Jun;83(2):731-43."
"33","https://doi.org/10.1016/j.palaeo.2020.109849","Bataille C.P., Crowley B.E., Wooller M.J., Bowen G.J. 2020 Advances in global bioavailable strontium isoscapes. Paleogeography, Palaeoclimatology, Palaeoecology, 555, 109849"
"34","https://doi.org/10.1016/j.apgeochem.2018.12.020","Baublys, K.A., Hamilton, S.K., Hofmann, H., Golding, S.D., 2019. A strontium (87Sr/86Sr) isotopic study on the chemical evolution and migration of groundwaters in a low-rank coal seam gas reservoir (Surat Basin, Australia), Applied Geochemistry 101, 1-18."
"35","https://doi.org/10.1111/bor.12091","Baumann, E.J., Jr and Crowley, B.E. (2015), Stable isotope ecology of mammoths and mastodons, the Cincinnati region, USA. Boreas, 44: 240-254. https://doi.org/10.1111/bor.12091"
"36","10.1520/jfs14829j","Beard, Brian L., and Clark M. Johnson. ""Strontium Isotope Composition of Skeletal Material Can Determine the Birth Place and Geographic Mobility of Humans and Animals."" Journal of Forensic Sciences, vol. 45, no. 5, 2000, doi:10.1520/jfs14829j."
"37","","Beehr, Dana E. Investigation of Middle Woodland Population Movement in the Midwestern United States using Strontium Isotopes, University of Illinois at Urbana-Champaign, Ann Arbor, 2011."
"38","10.1016/j.jas.2015.10.006","Beherec MA, et al. 2016. Iron Age nomads and their relation to copper smelting in Faynan (Jordan): Trace metal and Pb and Sr isotopic measurements from the Wadi Fidan 40 cemetery. Journal of Archaeological Science 65: 70-83."
"39","10.1016/j.jas.2008.09.023","Benson, L.V., Stein J.R., Taylor H.E. ""Possible Sources of Archaeological Maize Found in Chaco Canyon and Aztec Ruin, New Mexico."" Journal of Archaeological Science, vol. 36, no. 2, 2009, pp. 387–407., doi:10.1016/j.jas.2008.09.023."
"40","10.1016/j.jas.2009.10.027","Benson, Larry V. ""Who Provided Maize to Chaco Canyon after the Mid-12th-Century Drought?"" Journal of Archaeological Science, vol. 37, no. 3, 2010, pp. 621–629., doi:10.1016/j.jas.2009.10.027."
"41","10.1016/j.geoderma.2007.08.016","Bern, C. R., Porder, S., & Townsend, A. R. (2007). Erosion and landscape development decouple strontium and sulfur in the transition to dominance by atmospheric inputs. Geoderma, 142(3-4), 274-284."
"42","https://doi.org/10.1890/03-0766","Bern, C. R., Townsend, A. R., & Farmer, G. L. (2005). UNEXPECTED DOMINANCE OF PARENT?MATERIAL STRONTIUM IN A TROPICAL FOREST ON HIGHLY WEATHERED SOILS. Ecology, 86(3), 626-632."
"43","https://doi.org/10.1016/S0016-7037(03)00029-2","Bickle, M.J., Bunbury, J., Chapman, H.J., Harris, N.B., Fairchild, I.J. and Ahmad, T., 2003. Fluxes of Sr into the headwaters of the Ganges. Geochimica et Cosmochimica Acta, 67(14), pp.2567-2584."
"44","https://doi.org/10.1016/j.gca.2004.11.019","Bickle, M.J., et al., 2005. Relative contributions of silicate and carbonate rocks to riverine Sr fluxes in the headwaters of the Ganges. Geochimica et Cosmochimica Acta, 69(9), pp.2221-2240."
"45","https://doi.org/10.1371/journal.pone.0204649","Blank, Malou, et al. ""Isotope Values of the Bioavailable Strontium in Inland Southwestern Sweden-A Baseline for Mobility Studies."" PloS One 13, no. 10 (2018): e0204649–e0204649."
"46","https://doi.org/10.1007/s004420000550","Blum JD, Taliaferro EH, Holmes RT. Determining the sources of calcium for migratory songbirds using stable strontium isotopes. Oecologia. 2001;126:569–574."
"47","https://doi.org/10.1023/A:1006390707989","Blum JD, Taliaferro EH, Weisse MT, Holmes RT. Changes in Sr/Ca, Ba/Ca and 87Sr/86Sr ratios between trophic levels in two forest ecosystems in the northeastern U.S.A. Biogeochemistry. 2000;49:87–101."
"48","https://doi.org/10.1016/S0016-7037(05)80014-6","Blum, J.D., Erel, Y. and Brown, K., 1993. 87Sr/86Sr ratios of Sierra Nevada stream waters: Implications for relative mineral weathering rates. Geochimica et Cosmochimica Acta, 57(21-22), pp.5019-5025."
"49","https://doi.org/10.1007/s12520-022-01640-0","Boethius, A., et al, 2022. Diachronic forager mobility: Untangling the Stone Age movement patterns at the sites Norje Sunnansund, Skateholm and Västerbjers through strontium isotope ratio analysis by laser ablation. Archaeol. Anthropol. Sci. 14, 176."
"50","https://doi.org/10.1371/journal.pone.0245222","Boethius, A., et al., 2021. Early Holocene Scandinavian foragers on a journey to affluence: Mesolithic fish exploitation, seasonal abundance and storage investigated through strontium isotope ratios by laser ablation (LA?MC-ICP?MS). PLoS ONE 16, e0245222."
"51","https://doi.org/10.1111/arcm.12049","Bogaard A, Henton E, Evans JA, Twiss KC, Charles MP, Vaiglova P, Russell N. 2014. Locating land use at Neolithic Catalhoyuk, Turkey: The implications of 87Sr/86Sr signatures in plants and sheep tooth sequences. Archaeometry 56: 860-877."
"52","https://doi.org/10.1016/j.jhydrol.2004.10.015","Boschetti T, Venturelli G, Toscani L, Barbieri M, Mucchino C. 2005. The Bagni di Lucca thermal waters (Tuscany, Italy): An example of ca-SO4 waters with high Na/cl and low ca/SO4 ratios. Journal of Hydrology 307: 270–293."
"53","https://doi.org/10.1016/0016-7037(76)90025-9","Brass, G.W., 1976. The variation of the marine 87Sr86Sr ratio during Phanerozonic time: interpretation using a flux model. Geochimica et Cosmochimica Acta, 40(7), pp.721-730."
"54","https://doi.org/10.1016/j.chemgeo.2023.121877","Brennan, K.G., Bowen, G.J., Fernandez, D.P. and Brennan, S.R., 2024. Arc Sediments are a Major source of Juvenile Sr in the Northern Cordillera's Taku River Basin: Potential Implications for the Global Sr Cycle. Chemical Geology, 644, p.121877."
"55","https://doi.org/10.1016/j.chemgeo.2014.08.018","Brennan, S.R., et al., 2014. Strontium isotope variation and carbonate versus silicate weathering in rivers from across Alaska: Implications for provenance studies. Chemical Geology, 389, pp.167-181."
"56","","Britton, K. 2010. Multi-isotope analysis and the reconstruction of prey species palaeomigrations and palaeoecology. Doctoral thesis, Durham University."
"57","https://doi.org/10.1016/j.jhevol.2011.03.004","Britton, K., et al., 2011. Strontium isotope evidence for migration in late Pleistocene Rangifer: Implications for Neanderthal hunting strategies at the Middle Palaeolithic site of Jonzac, France. Journal of human evolution, 61(2), pp.176-185."
"58","https://doi.org/10.3389/fevo.2020.579473","Britton, K., et al., 2020. Sampling plants and malacofauna in 87Sr/86Sr bioavailability studies: implications for isoscape mapping and reconstructing of past mobility patterns. Frontiers in Ecology and Evolution, 8, p.579473."
"59","https://doi.org/10.1016/j.jasrep.2017.11.009","Brönnimann, D., et al, 2018. The lay of land: Strontium isotope variability in the dietary catchment of the Late Iron Age proto-urban settlement of Basel-Gasfabrik, Switzerland. Journal of Archaeological Science: Reports, 17, pp.279-292."
"60","https://doi.org/10.1002/hyp.5973","Brunet, F. et al.(2005) d13C tracing of dissolved inorganic carbon sources in Patagonian rivers (Argentina). Hydrological Processes, 19 (17). 3321-3344."
"61","https://doi.org/10.1016/j.jasrep.2021.103334","Burlot, J., et al., 2022. Defining isotopic signatures of potential procurement sources: A case study in the Mesa Verde region of the US Southwest. Journal of Archaeological Science: Reports, 41, p.103334."
"62","https://doi.org/10.1017/qua.2019.54","Burney DA, Andriamialison H, Andrianaivoarivelo RA, et al. Subfossil lemur discoveries from the Beanka Protected Area in western Madagascar. Quaternary Research. 2020;93:187-203. doi:10.1017/qua.2019.54"
"63","https://doi.org/10.1002/ajpa.22235","Buzon MR, Simonetti A. 2013. Strontium isotope (87Sr/86Sr) variability in the Nile Valley: Identifying residential mobility during ancient Egyptian and Nubian sociopolitical changes in the New Kingdom and Napatan periods. AJPA 151: 1–9."
"64","https://doi.org/10.1016/S0009-2541(96)00168-4","Cameron, E.M. and Hattori, K., 1997. Strontium and neodynium isotope ratios in the Fraser River, British Columbia: a riverine transect across the Cordilleran orogen. Chemical geology, 137(3-4), pp.243-253."
"65","https://doi.org/10.1007/s00442-018-4185-4","Cerling Thure E., et al. Stable Isotope Ecology of Black Rhinos (Diceros Bicornis) in Kenya. Oecologia, vol. 187, no. 4, 2018, pp. 1095–105"
"66","https://doi.org/10.1007/s004420050067","Chamberlain, C., Blum, J., Holmes, R. et al. The use of isotope tracers for identifying populations of migratory birds. Oecologia 109, 132–141 (1996) doi:10.1007/s004420050067"
"67","10.1007/s10653-015-9757-1","Chang, C.T., et al., 2016. Boron and strontium isotope ratios and major/trace elements concentrations in tea leaves at four major tea growing gardens in Taiwan. Environ. Geochem. Health 38, 737-748."
"68","https://doi.org/10.1016/j.gca.2015.06.006","Chao, Hung-Chun, et al. ""Evidence for stable Sr isotope fractionation by silicate weathering in a small sedimentary watershed in southwestern Taiwan."" Geochimica et Cosmochimica Acta 165 (2015): 324-341."
"69","https://doi.org/10.1016/j.jas.2014.06.013","Chase, B., Meiggs, D., Ajithprasad, P., & Slater, P. A. (2014). Pastoral land-use of the Indus Civilization in Gujarat: faunal analyses and biogenic isotopes at Bagasra. Journal of Archaeological Science, 50, 1-15."
"70","https://doi.org/10.1890/ES12-00122.1","Chesson, L. A., B. J. Tipple, G. N. Mackey, S. A. Hynek, D. P. Fernandez, and J. R. Ehleringer. 2012. Strontium isotopes in tap water from the coterminous USA. Ecosphere 3(7):67"
"71","https://doi.org/10.1016/j.gca.2008.06.013","Chetelat, B., et al., 2008. Geochemistry of the dissolved load of the Changjiang Basin rivers: anthropogenic impacts and chemical weathering. Geochimica et Cosmochimica Acta, 72(17), pp.4254-4277."
"72","https://doi.org/10.1016/j.jasrep.2017.12.016","Cheung, C., D. V. Burley, B. Phaff, and M. P. Richards. 2018. A palaeomobility study of the multi-period site of Sigatoka, Fiji, using strontium isotope analysis. Journal of Archaeological Science: Reports 17:762–774."
"73","https://doi.org/10.1016/j.chemgeo.2011.01.011","Christian, L.N., Banner, J.L. and Mack, L.E., 2011. Sr isotopes as tracers of anthropogenic influences on stream water in the Austin, Texas, area. Chemical Geology, 282(3-4), pp.84-97."
"74","https://doi.org/10.1016/j.apgeochem.2007.03.030","Chu, H.Y. and You, C.F., 2007. Dissolved constituents and Sr isotopes in river waters from a mountainous island–The Danshuei drainage system in northern Taiwan. Applied geochemistry, 22(8), pp.1701-1714."
"75","https://doi.org/10.1016/j.jmarsys.2007.09.013","Chung, C.H., You, C.F. and Chu, H.Y., 2009. Weathering sources in the Gaoping (Kaoping) river catchments, southwestern Taiwan: Insights from major elements, Sr isotopes, and rare earth elements. Journal of Marine Systems, 76(4), pp.433-443."
"76","https://doi.org/10.1130/0091-7613(2000)028%3C1015:FOCSLB%3E2.3.CO;2","Clauer, N., Chaudhuri, S., Toulkeridis, T., Blanc, G., 2000. Fluctuations of Caspian Sea level: beyond climatic variations? Geology 28, 1015–1018."
"77","https://doi.org/10.1016/j.jas.2009.08.016","Conlee CA, Buzon MR, Noriega Gutierrez A, Simonetti A, Creaser RA. 2009. Identifying foreigners versus locals in a burial population from Nasca, Peru: an investigation using strontium isotope analysis. Journal of Archaeological Science 36: 2755–2764."
"78","https://doi.org/10.1130/G19749.1","Cooke, M.J., Stern, L.A., Banner, J.L., Mack, L.E., Stafford Jr, T.W. and Toomey III, R.S., 2003. Precise timing and rate of massive late Quaternary soil denudation. Geology, 31(10), pp.853-856."
"79","","Copeland, S. R., Sponheimer, M., Thorp, J. A. L., de Ruiter, D. J., Roux, P. J., Grimes, V., ... & Richards, M. P. (2010). Using strontium isotopes to study site accumulation processes. Journal of taphonomy, 8(2), 115-127."
"80","https://doi.org/10.1016/j.quascirev.2016.04.002","Copeland, S.R., et al., 2016. Strontium isotope investigation of ungulate movement patterns on the Pleistocene Paleo-Agulhas plain of the Greater Cape floristic region, South Africa. Quaternary Science Reviews, 141, pp.65-84."
"81","https://doi.org/10.1007/978-3-031-07426-4_5","Copeland, SR et al. ""Isotopic Evidence for the Geographic Origin, Movement and Diet of the Hofmeyr Individual."" 2023, pp. 47–68"
"82","https://doi.org/10.1371/journal.pone.0163606","Coutu AN, Lee-Thorp J, Collins MJ, Lane PJ (2016) Mapping the Elephants of the 19th Century East African Ivory Trade with a Multi-Isotope Approach. PLoS ONE 11(10): e0163606. https://doi.org/10.1371/journal.pone.0163606"
"83","https://doi.org/10.1139/f04-167","CR. Bacon, PK. Weber, KA. Larsen, R. Reisenbichler, J A. Fitzpatrick, and JL. Wooden. 2005. Migration and rearing histories of chinook salmon (Oncorhynchus tshawytscha) determined by ion microprobe Sr isotope and Sr/Ca transects of otoliths"
"84","https://doi.org/10.1139/cjfas-2016-0153","Crook, D.A., et al., 2017. Temporal and spatial variation in strontium in a tropical river: implications for otolith chemistry analyses of fish migration. Canadian Journal of Fisheries and Aquatic Sciences, 74(4), pp.533-545."
"85","https://doi.org/10.1111/brv.12217","Crowley BE, et al. Strontium isotopes (87 Sr/86 Sr) in terrestrial ecological and palaeoecological research: empirical efforts and recent advances in continental-scale models. Biol Rev Camb Philos Soc. 2017 Feb;92(1):43-59."
"86","","Crowley et al. In prep. An isotopic investigation of changes in an extinct lemur's mobility and diet following weaning."
"87","https://doi.org/10.1007/s00114-018-1564-y","Crowley, B.E., Castro, I., Soarimalala, V., Goodman, S.M., 2018. Isotopic evidence for niche partitioning and the influence of anthropogenic disturbance on endemic and introduced rodents in central Madagascar. Sci. Nat."
"88","https://doi.org/10.3389/fevo.2019.00490","Crowley, B.E., Godfrey, L.R., 2019. Strontium Isotopes Support Small Home Ranges for Extinct Lemurs. Front. Ecol. Evol. 7, 490. https://doi.org/10.3389/fevo.2019.00490"
"89","https://doi.org/10.1002/wsb.840","Crowley, B.E., Slater, P.A., Arrigo-Nelson, S.J., Baden, A.L., Karpanty, S.M., 2017. Strontium isotopes are consistent with low-elevation foraging limits for Henst's goshawk. Wildl. Soc. Bull. https://doi.org/10.1002/wsb.840"
"90","","Curtis, John Briggs and Alan M. Stueber. ""Sr/Sr Ratios and Total Strontium Concentrations in Surface Waters of the Scioto River Drainage Basin, Ohio."" 1973. The Ohio Journal of Science. v73, n3 (May, 1973), 166-175"
"91","https://doi.org/10.1016/S0016-7037(03)00203-5","Dalai, T.K., Krishnaswami, S. and Kumar, A., 2003. Sr and 87Sr/86Sr in the Yamuna River System in the Himalaya: sources, fluxes, and controls on Sr isotope composition. Geochimica et Cosmochimica Acta, 67(16), pp.2931-2948."
"92","https://doi.org/10.1016/0895-9811(94)90022-1","Dalla Salda, L.H., Varela, R., Cingolani, C. and Aragón, E., 1994. The Rio Chico Paleozoic crystalline complex and the evolution of Northern Patagonia. Journal of South American Earth Sciences, 7(3-4), pp.377-386."
"93","https://doi.org/10.1038/s41598-022-12880-4","Dalle, S., Snoeck, C., Sengeløv, A. et al. Strontium isotopes and concentrations in cremated bones suggest an increased salt consumption in Gallo-Roman diet. Sci Rep 12, 9280 (2022). https://doi.org/10.1038/s41598-022-12880-4"
"94","https://doi.org/10.1029/2005GC001081","Das, A., Krishnaswami, S. and Kumar, A., 2006. Sr and 87Sr/86Sr in rivers draining the Deccan Traps (India): Implications to weathering, Sr fluxes, and the marine 87Sr/86Sr record around K/T. Geochemistry, Geophysics, Geosystems, 7(6)."
"95","https://doi.org/10.5194/essd-15-1655-2023","De Caritat, P., Dosseto, A., Dux, F., 2023. A strontium isoscape of northern Australia, Earth System Science Data Discussions 2023, 1-32."
"96","https://doi.org/10.1016/j.jas.2010.07.014","Degryse, P., Shortland, A., De Muynck, D., Van Heghe, L., Scott, R., Neyt, B., & Vanhaecke, F. (2010). Considerations on the provenance determination of plant ash glasses using strontium isotopes. Journal of Archaeological Science, 37(12), 3129-3135."
"97","https://doi.org/10.1016/j.apgeochem.2008.12.018","Deng, Y.M., Wang, Y.X., Ma, T., 2009. Isotope and minor element geochemistry of high arsenic groundwater from Hangjinhouqi, the Hetao Plain, Inner Mongolia. Appl. Geochem. 24, 587-599."
"98","https://doi.org/10.1016/S0012-821X(01)00317-X","Dessert, C., et al., 2001. Erosion of Deccan Traps determined by river geochemistry: impact on the global climate and the 87Sr/86Sr ratio of seawater. Earth and Planetary Science Letters, 188(3-4), pp.459-474."
"99","https://doi.org/10.1016/j.jaa.2012.07.002","di Lernia S, Tafuri MA. 2013. Persistent deathplaces and mobile landmarks: The Holocene mortuary and isotopic record from Wadi Takarkori (SW Libya). Journal of Anthropological Archaeology 32: 1-15."
"100","https://doi.org/10.1007/s12520-017-0480-y","Díaz-del-Río P, et al. 2017. Diet and mobility patterns in the Late Prehistory of central Iberia (4000–1400 cal BC): the evidence of radiogenic (87Sr/86Sr) and stable (?18O, ?13C) isotope ratios. Archaeological and Anthropological Sciences 9: 1439–1452."
"101","https://doi.org/10.1111/1755-6724.12658","Ding, T.P., et al., 2016. Chemical and isotopic characters of the water and suspended particulate materials in the Yellow River and their geological and environmental implications. Acta Geol. Sin. (Engl Ed) 90, 285-351."
"102","10.1016/j.jseaes.2016.07.026","Ding. H., et al., 2017. Geochemistry of the dissolved loads of the Liao River basin in northeast China under anthropogenic pressure: Chemical weathering and controlling factors. J. Asian Earth Sci. 138, 657-671."
"103","https://doi.org/10.1016/j.jasrep.2017.10.023","Döbereiner C-A, Investigating mobility and highland occupation strategies during the Early Holocene at the Cuncaicha rock shelter through strontium and oxygen isotopes, Journal of Archaeological Science: Reports, Volume 19, 2018, Pages 811-827"
"104","https://doi.org/10.7554/eLife.60860","Dominy Nathaniel J., Ikram Salima, Moritz Gillian L., Wheatley Patrick V., Christensen John N., Chipman Jonathan W., Koch Paul L. Mummified Baboons Reveal the Far Reach of Early Egyptian Mariners. eLife, vol. 9, 2020"
"105","https://doi.org/10.1016/j.apgeochem.2010.09.006","Dotsika E, Poutoukis D, Kloppmann W, Guerrot C, Voutsa D, Kouimtzis TH. 2010. The use of O, H, B, Sr and S isotopes for tracing the origin of dissolved boron in groundwater in Central Macedonia, Greece. Applied Geochemistry 25: 1783–1796."
"106","https://doi.org/10.1016/j.chemgeo.2012.10.045","Douglas, T.A. , Blum, J.D. , Guo, L. (2013). Hydrogeochemistry of seasonal flow regimes in the Chena River, a subarctic watershed draining discontinuous permafrost in interior Alaska (USA), Chemical Geology"
"107","https://doi.org/10.1016/S0009-2541(02)00047-5","Douglas, T.A., Chamberlain, C.P. and Blum, J.D., 2002. Land use and geologic controls on the major elemental and isotopic (?15N and 87Sr/86Sr) geochemistry of the Connecticut River watershed, USA. Chemical Geology, 189(1-2), pp.19-34."
"108","https://doi.org/10.1111/j.1365-2389.2006.00840.x","Drouet, T., et al. (2007). Natural strontium isotope composition as a tracer of weathering patterns and of exchangeable calcium sources in acid leached soils developed on loess of central Belgium. European journal of soil science, 58(1), 302-319."
"109","doi: 10.1111/j.1365-2486.2005.01034.x","Drouet, T., Herbauts, J., Demaiffe, D., 2005. Long-term records of strontium isotopic composition in tree rings suggest changes in forest calcium sources in the early 20th century. Global Change Biology. 11, 1926-1940"
"110","doi:10.1016/j.geoderma.2004.09.010","Drouet, T., Herbauts, J., Gruber, W. and Demaiffe, D., 2005. Strontium isotope composition as a tracer of calcium sources in two forest ecosystems in Belgium. Geoderma, 126(3-4), pp.203-223."
"111","https://doi.org/10.1016/j.jas.2006.10.014","Dufour E, et al. 2007. Oxygen and strontium isotopes as provenance indicators of fish at archaeological sites: the case study of Sagalassos, SW Turkey. Journal of Archaeological Science 34: 1226-1239."
"112","https://doi.org/10.1111/1365-2664.12665","Duponchelle, F., et al. (2016), Trans-Amazonian natal homing in giant catfish. J Appl Ecol, 53: 1511-1520"
"113","","Durán V, et al. 2018. Barrio Ramos I. Prácticas funerarias en el inicio del período de dominación Inca del valle de Uspallata (Mendoza, Argentina). Relaciones de la Sociedad Argentina de Antropología? XLIII (1): xx-xx."
"114","https://doi.org/10.1016/j.foodchem.2018.02.084","Durante, C., Bertacchini, L., Cocchi, M., Manzini, D., Marchetti, A., Rossi, M.C., Sighinolfi, S. and Tassi, L., 2018. Development of 87Sr/86Sr maps as targeted strategy to support wine quality. Food chemistry, 255, pp.139-146."
"115","https://doi.org/10.1016/j.jasrep.2020.102412","Duxfield T, et al. Establishing a strontium isotope baseline in New Zealand for future archaeological migration studies: A case study. JArchaeol Sci Rep. 2020; 32: 102412."
"116","https://doi.org/10.1016/j.jasrep.2020.102412","Duxfield, T., C. King, H. Buckley, P. Petchey, G. M. Nowell, and R. L. Kinaston. 2020. Establishing a strontium isotope baseline in New Zealand for future archaeological migration studies: A case study. Journal of Archaeological Science: Reports 32."
