"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NES2XNMK","journalArticle","2022","Stantis, Chris; Maaranen, Nina; Kharobi, Arwa; Nowell, Geoff M; Macpherson, Colin; Schutkowski, Holger; Bourke, Stephen","Jordanian migration and mobility in the Middle Bronze Age (ca. 2100–1550 BCE) at Pella","International Journal of Osteoarchaeology","","","","","","2022","2023-03-15 19:02:30","2023-03-15 19:02:30","","339–357","","2","32","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W86I24TH","journalArticle","2021","Stantis, Chris","Isotopic data for bioarchaeological samples from Polynesia (pre-Contact and modern periods)","Data in Brief","","","","","","2021","2023-03-15 19:02:30","2023-03-15 19:02:30","","107419","","","38","","","","","","","","","","","All rights reserved","","","","","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IFKNRVT","conferencePaper","2020","Stantis, Chris; Schwartz, Glenn M; Nowell, Geoffrey; Batey, Ernest K; Maaranen, Nina; Schutkowski, Holger","Life Course Perspective of the Elite Burials of Early Bronze Age Umm el-Marra, Syria","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","","","","","","2020","2023-03-15 19:02:30","2023-03-15 19:02:30","","273–273","","","171","","","","","","","","WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N994LQ8Y","conferencePaper","2020","Schalburg-Clayton, Jessica; King, Charlotte; Buckley, Hallie; Halcrow, Sian; Higham, Charles; Shewan, Louise; Stantis, Christina; O'Reilly, Dougald; Domett, Kate; Zech, Jana; others","Innovation or continuation? Development of wet-rice agriculture in Prehistoric Northeast Thailand","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","","","","","","2020","2023-03-15 19:02:29","2023-03-15 19:02:29","","250–251","","","171","","","","","","","","WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45IBCDEG","journalArticle","2020","Stantis, Chris; Nowell, Geoff M; Prell, Silvia; Schutkowski, Holger","Animal proxies to characterize the strontium biosphere in the northeastern Nile Delta","Bioarchaeology of the Near East","","","","","","2020","2023-03-15 19:02:29","2023-03-15 19:02:29","","","","","13","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55J3426U","conferencePaper","2019","Stantis, Chris; Schutkowski, Holger","Migration into Egypt during the Second Intermediate Period","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","","","","","","2019","2023-03-15 19:02:29","2023-03-15 19:02:29","","237–237","","","168","","","","","","","","WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGBDPWXD","journalArticle","2020","Stantis, Chris; Schutkowski, Holger; So\ltysiak, Arkadiusz","Reconstructing breastfeeding and weaning practices in the Bronze Age Near East using stable nitrogen isotopes","American Journal of Physical Anthropology","","","","","","2020","2023-03-15 19:02:29","2023-03-15 19:02:29","","58–69","","1","172","","","","","","","","","","","All rights reserved","","","","","","Publisher: John Wiley & Sons, Inc. Hoboken, USA","","","","Weaning and Infant Feeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FR4LD58J","journalArticle","2019","Maaranen, Nina; Schutkowski, Holger; Zakrzewski, SR; Stantis, Christina; Zink, Albert","The Hyksos in Egypt: A Bioarchaeological Perspective","","","","","","","2019","2023-03-15 19:02:29","2023-03-15 19:02:29","","","","","","","","","","","","","","","","All rights reserved","","","","","","Publisher: Harrassowitz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA76BJLD","journalArticle","2017","Clark, Angela; King, Charlotte L; Buckley, Hallie R; Collins, Catherine J; Dhavale, Neha; Elliott, Gail E; Gosling, Anna; Halcrow, Siân E; Ivory, Bradley; Matisoo-Smith, Elizabeth; others","Biological anthropology in the Indo-Pacific region: new approaches to age-old questions","Journal of Indo-Pacific Archaeology","","","","","","2017","2023-03-15 19:02:29","2023-03-15 19:02:29","","78–94","","","41","","","","","","","","","","","All rights reserved","","","","","","Publisher: Indo-Pacific Prehistory Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BJ4J4DM","bookSection","2015","Stantis, Christina; Tayles, Nancy; Kinaston, Rebecca L; Cameron, Claire; Nunn, Patrick D; Richards, Michael P; Buckley, Hallie R","Diet and subsistence in Remote Oceania: an analysis using oral indicators of diet","The Routledge Handbook of Bioarchaeology in Southeast Asia and the Pacific Islands","","","","","","2015","2023-03-15 19:02:29","2023-03-15 19:02:29","","597–626","","","","","","","","","","","Routledge","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSGYVARM","journalArticle","2020","Clark, Angela L; Stantis, Christina; Buckley, Hallie R; Tayles, Nancy","Oral health of the prehistoric Rima Rau cave burials, Atiu, Cook Islands","Journal of the Royal Society of New Zealand","","","","","","2020","2023-03-15 19:02:29","2023-03-15 19:02:29","","158–177","","1","50","","","","","","","","","","","All rights reserved","","","","","","Publisher: Taylor & Francis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HH582K3Q","bookSection","2019","Stantis, Christina; Schutkowski, Holger","Stable Isotope Analyses to Investigate Hyksos Identity and Origins","The Enigma of the Hyksos Volume I ASOR Conference Boston 2017- ICAANE Conference Munich 2018–Collected Papers","","","","","","2019","2023-03-15 19:02:29","2023-06-05 22:21:24","","321–338","","","1","","","","","","","","Otto Harrassowitz","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSZTEJEP","thesis","2015","Stantis, Christina","Diet and migration in prehistoric remote Oceania","","","","","","","2015","2023-03-15 19:02:29","2023-03-15 19:02:29","","","","","","","","","","","","","University of Otago","","","All rights reserved","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P52XR8A3","journalArticle","2015","Stantis, Christina; Kinaston, Rebecca L; Richards, Michael P; Buckley, Hallie R","Exploring childhood diet of survivors and non-survivors in prehistoric Tonga (c. 500-150 BP) using isotopic analyses","","","","","","","2015","2023-03-15 19:02:29","2023-03-15 19:02:29","","","","","","","","","","","","","","","","All rights reserved","","","","","","Publisher: Wiley-Liss, Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHWHJ5HG","journalArticle","2013","Kendall, Ellen J; Montgomery, Janet; Evans, Jane A; Stantis, Christina; Mueller, V","Mobility, mortality, and the middle ages: Identification of migrant individuals in a 14th century black death cemetery population","American Journal of Physical Anthropology","","","","","","2013","2023-03-15 19:02:29","2023-03-15 19:02:29","","210–222","","2","150","","","","","","","","","","","All rights reserved","","","","","","Publisher: Wiley Subscription Services, Inc., A Wiley Company Hoboken","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBNNBP2B","bookSection","2015","Buckley, Hallie R; Oxenham, Marc","Bioarchaeology in Southeast Asia and the Pacific","The Routledge Handbook of Bioarchaeology in Southeast Asia and the Pacific Islands","","","","","","2015","2023-03-15 19:02:29","2023-03-15 19:02:29","","29–34","","","","","","","","","","","Routledge","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MJ3NR9U","journalArticle","2016","Stantis, Christina; Buckley, Hallie R; Kinaston, Rebecca L; Nunn, Patrick D; Jaouen, Klervia; Richards, Michael P","Isotopic evidence of human mobility and diet in a prehistoric/protohistoric Fijian coastal environment (c. 750–150 BP)","American Journal of Physical Anthropology","","","","","","2016","2023-03-15 19:02:29","2024-01-12 17:35:08","","478–495","","3","159","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTP3JDBC","conferencePaper","2014","Stantis, Christina; Buckley, Hallie R; Tayles, Nancy","Nonmetric Dental Trait Markers in Prehistoric Polynesians: A Descriptive Analysis","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","","","","","","2014","2023-03-15 19:02:29","2023-03-15 19:02:29","","245–245","","","153","","","","","","","","WILEY-BLACKWELL 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTTFPPS9","journalArticle","2013","Stantis, Christina","Bioarchaeological analysis of dental health and diet in Tonga.","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","","","","","","2013","2023-03-15 19:02:29","2023-03-15 19:02:29","","262–262","","","150","","","","","","","","","","","All rights reserved","","","","","","Publisher: WILEY-BLACKWELL 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NP9MZN3","conferencePaper","2012","Stantis, Christina; Kendall, Ellen; Lamb, Angela; Mueller, Victoria; Evans, Jane; Montgomery, Janet","Paleoclimatological reconstruction using delta O-18 analysis in incremental sections of human dentin: a preliminary study using a catastrophic cemetery sample.","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","","","","","","2012","2023-03-15 19:02:29","2023-03-15 19:02:29","","276–277","","","147","","","","","","","","WILEY-BLACKWELL COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCBFNVTI","journalArticle","2012","Shuler, Kristrina A; Hodge, Shannon C; Danforth, Marie Elaine; Funkhouser, J Lynn; Stantis, Christina; Cook, Danielle N; Zeng, Peng","In the shadow of Moundville: A bioarchaeological view of the transition to agriculture in the central Tombigbee valley of Alabama and Mississippi","Journal of Anthropological Archaeology","","","","","","2012","2023-03-15 19:02:28","2023-03-15 19:02:28","","586–603","","4","31","","","","","","","","","","","All rights reserved","","","","","","Publisher: Academic Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JICZAUAN","report","2002","Froehlich, K.; Gibson, J. J.; Aggarwal, P. K.","Deuterium excess in precipitation and its climatological significance","","","","","","","2002","2023-03-15 18:59:17","2023-04-24 21:23:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHBK4TMD","thesis","2015","Appleton, Laurel","Dietary reconstruction of urban inhabitants of the 1 st century AD Petra","","","","","https://www.proquest.com/openview/09a0dfa90a875e461d99a980b883995b/1?pq-origsite=gscholar&cbl=18750","Explore millions of resources from scholarly journals, books, newspapers, videos and more, on the ProQuest Platform.","2015","2023-03-15 15:49:40","2023-03-15 15:51:16","2023-03-15 15:49:40","","","","","","","","","","","","East Carolina University","","en","","Masters","","","","","","","C:\Users\chris\Zotero\storage\AQTQTM92\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
