Entry;Country;Site_Name;Sample_Id;Biome 1;Biome 2;Region;Valley, locality, closest town, political jurisdiction;Latitude (WGS 84);Longitude (WGS 84);Altitude (masl);Exact_coordinates?;Site location_radius (km);Ref_coordinates;Archaeological_site_description;Archaeological_site_function;Archeological_Culture;Relative_chronology (Period/phase) ;Relative_date_from;Relative_date_to;Age_System_Relative;Absolute_chronology_method;Radiocarbon_Lab_Code;Conventional 14C_date (BP);Error (±1σ);Calibrated/modelled 14C (95%)_from;Calibrated/modelled 14C (95%)_to;Age_System_Absolute;Material_dated;Lab_Id;Type_source;Taxon/local name;Genus/Species;Phostosynthetic_Pathway;Plant_domesticate;Sample_type;wt%C;wt%N;C:N;δ13C;δ15N;δ34S;δ18O;87Sr/86Sr;Other_isotope_or analytical value;Description_ of_ other_isotope_or_analytical_value;Extra_information;Description_of_extra_information;Additional_info_source;Preservation_criteria ;Comments;Original_Reference;Original_Full_Reference;Compilation_Reference;Compilation_Full_Reference;Link_ to_source;Link_to_source_2;;;;;;;;;;;;;;;;;
11;Argentina;Animaná;AIE  27631;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina; Animamá farm, Calchaquí Valley, Salta province;-25.9703;-65.9479;1611;Approximate;2;Google Earth;;;;Modern;;;;;;;;;;;;AIE 27631;Terrestrial flora;Amaranth/Kiwicha;Amaranthus caudatus;C4;Yes;seed;;;18.7;-10.8;14.0;;;;;;;;;1;Carbon results were corrected for Suess Effect.;Gheggi & Williams (2013)  ;Gheggi, S., & Williams, V. (2013). New data on food consumption in pre-hispanic populations from Northwest Argentina (ca. 1000–1550 AD): the contribution of carbon and nitrogen isotopic composition of human bones. Journal of Anthropology, Article ID 258190. ;Oliszewski et al. (2020);Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science Reports, 32: 102429.; https://doi.org/10.1155/2013/258190; https://doi.org/10.1155/2013/258190;;;;;;;;;;;;;;;;;
12;Argentina;Salta Province, Argentina;Amaranthus caudatus;;;Northwest of Argentina;Salta province;-24.791;-65.4228;1223;Approximate;300;Google Earth;;;;Modern;;;;;;;;;;;;Amaranthus caudatus;Terrestrial flora;Amaranth/Kiwicha;Amaranthus caudatus;C4;Yes;;;;;-12.5;;;;;;;;;;3;;Cadwallader et al. (2012);Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40, 487–509.;;;DOI 10.1007/s10745-012-9509-0;DOI 10.1007/s10745-012-9509-0;;;;;;;;;;;;;;;;;
13;Argentina;Argentina, Unknown Province;Amaranthus caudatus;;;Northwest of Argentina;Argentina, Unknown province;-24.791;-65.4228;1223;Approximate;300;Google Earth;;;;Modern;;;;;;;;;;;;Amaranthus caudatus;Terrestrial flora;Amaranth/Kiwicha;Amaranthus caudatus;C4;Yes;;;;;-11.8;;;;;;;;;;3;;Cadwallader et al. (2012);Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40, 487–509.;;;DOI 10.1007/s10745-012-9509-0;DOI 10.1007/s10745-012-9509-0;;;;;;;;;;;;;;;;;
14;Argentina;Argentina, Unknown Province;Amaranthus caudatus;;;Northwest of Argentina;Argentina, Unknown province;-24.791;-65.4228;1223;Approximate;300;Google Earth;;;;Modern;;;;;;;;;;;;Amaranthus caudatus;Terrestrial flora;Amaranth/Kiwicha;Amaranthus caudatus;C4;Yes;;;;;-13.9;;;;;;;;;;3;;Cadwallader et al. (2012);Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40, 487–509.;;;DOI 10.1007/s10745-012-9509-0;DOI 10.1007/s10745-012-9509-0;;;;;;;;;;;;;;;;;
15;Argentina;Salinas Grandes ;Atriplex sp.;Montane grasslands and shrublands;Andean Puna (Salty Puna);Northwest of Argentina;Jujuy Puna, Salinas Grandes, Jujuy province;-23.6187;-65.8583;3415;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;27716;Terrestrial flora;;Atriplex sp.;;No;leaves;;;;-14.8;8.6;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
16;Argentina;Salinas Grandes ;Chuquiraga aff. atacamensis;Montane grasslands and shrublands;Andean Puna (Salty Puna);Northwest of Argentina;Jujuy Puna, Salinas Grandes, Jujuy province;-23.6187;-65.8583;3415;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;27715;Terrestrial flora;;Chuquiraga aff. atacamensis;;No;leaves;;;;-21.9;4.1;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
17;Argentina;Salinas Grandes ;Senecio subulatus var. salsus;Montane grasslands and shrublands;Andean Puna (Salty Puna);Northwest of Argentina;Jujuy Puna, Salinas Grandes, Jujuy province;-23.6187;-65.8583;3415;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;27714;Terrestrial flora;;Senecio subulatus var. salsus;;No;leaves;;;;-26.5;6.6;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
18;Argentina;Ojo de Agua;Fabiana aff. densa;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31933;Terrestrial flora;;Fabiana aff. densa;;No;leaves and stems;;;;-25.3;4.2;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
19;Argentina;Ojo de Agua;Fabiana aff. densa;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31932;Terrestrial flora;;Fabiana aff. densa;;No;leaves and stems;;;;-25.4;4.5;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
20;Argentina;Ojo de Agua;Junellia seriphioides ;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31938;Terrestrial flora;;Junellia seriphioides ;;No;leaves and flower;;;;-22.5;4.9;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
21;Argentina;Ojo de Agua;Senecio viridis;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31930;Terrestrial flora;;Senecio viridis;;No;leaves, stem and flower;;;;-26.3;5.1;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
22;Argentina;Ojo de Agua;Senecio viridis;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31931;Terrestrial flora;;Senecio viridis;;No;leaves, stem and flower;;;;-26.6;5.2;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
23;Argentina;Ojo de Agua;Stipa sp.;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31937;Terrestrial flora;;Stipa sp.;C3;No;leaves;;;;-24.8;3.1;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
24;Argentina;Ojo de Agua;Stipa sp.;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31936;Terrestrial flora;;Stipa sp.;C3;No;leaves;;;;-24.9;2.7;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
25;Argentina;Ojo de Agua;Stipa sp.;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31934;Terrestrial flora;;Stipa sp.;C3;No;leaves;;;;-25.2;2.4;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
26;Argentina;Ojo de Agua;Stipa sp.;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31935;Terrestrial flora;;Stipa sp.;C3;No;leaves;;;;-25.9;3.4;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
